,,,"Mon, Jul 13",OBJETIVO,,,115 gr,100 gr,124 gr,35 gr,2000 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",14:50 ,"Nesquik, cacao en polvo",0.2,Procesado,3 gr,0 gr,2 gr,0 gr,0 gr,10 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",14:50 ,Vainillas Bimbo,1,Carb,12 gr,1 gr,9 gr,1 gr,0 gr,45 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",14:50 ,"Chocolate, Águila (1 barrita)",0.5,Carb,8 gr,0 gr,5 gr,2 gr,0 gr,35 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.59,,,1.80,
,"Thu, Feb 26",14:50 ,"Not protein bar, chocolate brownie",1,Procesado,45 gr,15 gr,14 gr,6 gr,6 gr,164 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",17:30 ,Banana,1,Fruta,150 gr,2 gr,35 gr,0 gr,4 gr,134 kcal,02:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",17:30 ,"Leche, Protein",1.2,Lácteo,120 gr,6 gr,6 gr,0 gr,0 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",17:30 ,"Chocolate, Águila (1 barrita)",0.5,Carb,8 gr,0 gr,5 gr,2 gr,0 gr,35 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.59,,,1.80,
,"Thu, Feb 26",17:30 ,Creatina Monohidrato,0.5,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",20:30 ,"Ensalada (lechuga, repollo b+m, zanahoria)",0.9,Verdura,108 gr,1 gr,5 gr,0 gr,2 gr,27 kcal,03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",20:30 ,Atún (1 lata),1,Proteína,120 gr,31 gr,0 gr,1 gr,0 gr,139 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.02,0.08,,,0.98,
,"Thu, Feb 26",20:30 ,Queso Unt. Finlandia Light,1,Lácteo,10 gr,1 gr,1 gr,1 gr,0 gr,19 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,0.43,0.06,0.10,0.82,
,"Thu, Feb 26",20:30 ,"Rapiditas integrales, tortillas",2,Carb,55 gr,5 gr,26 gr,3 gr,4 gr,154 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",20:30 ,Uvas blancas,1,Fruta,50 gr,0 gr,9 gr,0 gr,0 gr,35 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",22:30 ,Te,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thu, Feb 26",22:30 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,141 gr,188 gr,42 gr,26 gr,"1,709 kcal",1335 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,0 gr,3 gr,14 gr,0 gr,0 gr,25 gr,0 gr,17 gr,25 gr,0:3,,,,,,,
1,"Fri, Feb 27",11:00 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",11:00 ,Palta,0.35,Fruta,56 gr,1 gr,5 gr,8 gr,4 gr,90 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,1.15,5.83,,,8.21,
,"Fri, Feb 27",11:00 ,Queso Unt. Finlandia Light,5,Lácteo,50 gr,5 gr,3 gr,7 gr,0 gr,95 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.22,2.13,0.29,0.51,4.11,
,"Fri, Feb 27",11:00 ,"Aceite de oliva El Gran Juicio (EV, 1 cda sop)",0.1,Grano,1 gr,0 gr,0 gr,1 gr,0 gr,11 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.12,0.90,,,1.20,
,"Fri, Feb 27",11:00 ,Huevo,1,Proteína,65 gr,8 gr,0 gr,8 gr,0 gr,101 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.23,2.91,,,7.67,
,"Fri, Feb 27",11:00 ,Tomate,0.2,Verdura,50 gr,0 gr,2 gr,0 gr,1 gr,9 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",11:15 ,Te,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,00:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",11:15 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",11:15 ,"Leche, Protein",0.5,Lácteo,50 gr,2 gr,2 gr,0 gr,0 gr,19 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",11:15 ,Vainillas Bimbo,2,Carb,24 gr,2 gr,18 gr,1 gr,0 gr,90 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",13:30 ,Pollo (1 pechuga),0.75,Proteína,225 gr,64 gr,0 gr,7 gr,0 gr,340 kcal,02:15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1.44,2.88,,,7.20,
,"Fri, Feb 27",13:30 ,"Ensalada (lechuga, repollo b+m, zanahoria)",0.8,Verdura,96 gr,1 gr,4 gr,0 gr,2 gr,24 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",13:30 ,Tomate,1.2,Verdura,300 gr,3 gr,12 gr,1 gr,4 gr,54 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",13:30 ,"Aceite de oliva El Gran Juicio (EV, 1 cda sop)",0.25,Grano,3 gr,0 gr,0 gr,3 gr,0 gr,27 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.30,2.25,,,3.00,
,"Fri, Feb 27",13:30 ,Palta,0.15,Fruta,24 gr,0 gr,2 gr,4 gr,2 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.49,2.50,,,3.52,
,"Fri, Feb 27",13:30 ,Queso Unt. Finlandia Light,2,Lácteo,20 gr,2 gr,1 gr,3 gr,0 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.09,0.85,0.12,0.21,1.64,
,"Fri, Feb 27",15:00 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",15:00 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",15:00 ,"Leche, Protein",0.8,Lácteo,80 gr,4 gr,4 gr,0 gr,0 gr,30 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",15:00 ,"Chocolate, Águila (1 barrita)",0.5,Carb,8 gr,0 gr,5 gr,2 gr,0 gr,35 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.59,,,1.80,
,"Fri, Feb 27",15:00 ,"Crudda peanut caramel, barra proteica",1,Procesado,40 gr,9 gr,7 gr,6 gr,7 gr,117 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",15:00 ,Vainillas Bimbo,2,Carb,24 gr,2 gr,18 gr,1 gr,0 gr,90 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",21:30 ,Atún (1 lata),1,Proteína,120 gr,31 gr,0 gr,1 gr,0 gr,139 kcal,06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.02,0.08,,,0.98,
,"Fri, Feb 27",21:30 ,Palta,0.13,Fruta,21 gr,0 gr,2 gr,3 gr,1 gr,33 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.43,2.16,,,3.05,
,"Fri, Feb 27",21:30 ,Queso Unt. Finlandia Light,0.3,Lácteo,3 gr,0 gr,0 gr,0 gr,0 gr,6 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.01,0.13,0.02,0.03,0.25,
,"Fri, Feb 27",21:30 ,"Ensalada (lechuga, repollo b+m, zanahoria)",0.21,Verdura,25 gr,0 gr,1 gr,0 gr,0 gr,6 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",21:30 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",21:30 ,"Aceite de oliva El Gran Juicio (EV, 1 cda sop)",0.1,Grano,1 gr,0 gr,0 gr,1 gr,0 gr,11 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.12,0.90,,,1.20,
,"Fri, Feb 27",22:00 ,Banana,0.94,Fruta,141 gr,1 gr,32 gr,0 gr,4 gr,125 kcal,00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",22:00 ,"Leche, Protein",1.2,Lácteo,120 gr,6 gr,6 gr,0 gr,0 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fri, Feb 27",22:00 ,Creatina Monohidrato,0.5,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,149 gr,184 gr,61 gr,29 gr,"1,860 kcal",1667 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,1 gr,6 gr,24 gr,0 gr,1 gr,44 gr,0 gr,30 gr,45 gr,1:6,,,,,,,
1,"Sat, Feb 28",9:20 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,11:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",9:20 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",9:20 ,Medialuna de Manteca,2,Carb,70 gr,4 gr,28 gr,15 gr,1 gr,258 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.29,3.65,0.58,1.17,12.85,
,"Sat, Feb 28",9:20 ,Almendra (1),2,Fruto Seco,14 gr,3 gr,1 gr,7 gr,2 gr,81 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,5.47,,,7.49,
,"Sat, Feb 28",9:20 ,Castaña de Cajú,4,Fruto Seco,32 gr,6 gr,10 gr,14 gr,1 gr,177 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,8.45,,,14.08,
,"Sat, Feb 28",9:20 ,Huevo,1,Proteína,65 gr,8 gr,0 gr,8 gr,0 gr,101 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.23,2.91,,,7.67,
,"Sat, Feb 28",9:20 ,"Aceite de oliva El Gran Juicio (EV, 1 cda sop)",0.1,Grano,1 gr,0 gr,0 gr,1 gr,0 gr,11 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.12,0.90,,,1.20,
,"Sat, Feb 28",13:50 ,Arroz Integral,0.6,Grano,42 gr,1 gr,10 gr,0 gr,1 gr,46 kcal,04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",13:50 ,Lentejas,0.5,Carb,75 gr,5 gr,12 gr,1 gr,4 gr,70 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",13:50 ,Pollo (1 pechuga),0.3,Proteína,90 gr,26 gr,0 gr,3 gr,0 gr,136 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.58,1.15,,,2.88,
,"Sat, Feb 28",13:50 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",13:50 ,Queso Unt. Finlandia Light,1,Lácteo,10 gr,1 gr,1 gr,1 gr,0 gr,19 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,0.43,0.06,0.10,0.82,
,"Sat, Feb 28",14:50 ,Banana,0.9,Fruta,135 gr,1 gr,31 gr,0 gr,4 gr,120 kcal,01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",14:50 ,"Leche, Protein",1.2,Lácteo,120 gr,6 gr,6 gr,0 gr,0 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",14:50 ,Creatina Monohidrato,0.5,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",18:30 ,Café,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,03:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",18:30 ,Miel (1 cda),1.4,Carb,14 gr,0 gr,10 gr,0 gr,0 gr,39 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",18:30 ,"Nesquik, cacao en polvo",0.2,Procesado,3 gr,0 gr,2 gr,0 gr,0 gr,10 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",18:30 ,"Leche, Protein",0.8,Lácteo,80 gr,4 gr,4 gr,0 gr,0 gr,30 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",18:30 ,"Crudda peanut caramel, barra proteica",1,Procesado,40 gr,9 gr,7 gr,6 gr,7 gr,117 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",22:20 ,Zanahoria,0.5,Verdura,100 gr,1 gr,10 gr,0 gr,3 gr,41 kcal,03:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",22:20 ,Zucchini,0.35,Verdura,105 gr,1 gr,4 gr,0 gr,1 gr,18 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",22:20 ,Huevo,2,Proteína,130 gr,16 gr,0 gr,15 gr,0 gr,203 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,2.45,5.83,,,15.34,
,"Sat, Feb 28",22:20 ,Atún (1 lata),1,Proteína,120 gr,31 gr,0 gr,1 gr,0 gr,139 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.02,0.08,,,0.98,
,"Sat, Feb 28",22:20 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",22:20 ,Queso Unt. Finlandia Light,1,Lácteo,10 gr,1 gr,1 gr,1 gr,0 gr,19 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,0.43,0.06,0.10,0.82,
,"Sat, Feb 28",22:20 ,"Aceite de oliva El Gran Juicio (EV, 1 cda sop)",0.5,Grano,6 gr,0 gr,0 gr,6 gr,0 gr,54 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.60,4.50,,,6.00,
,"Sat, Feb 28",22:20 ,Tomate,0.5,Verdura,125 gr,1 gr,5 gr,0 gr,2 gr,23 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",23:00 ,Te,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,00:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",23:00 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",23:00 ,"Leche, Protein",0.4,Lácteo,40 gr,2 gr,2 gr,0 gr,0 gr,15 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sat, Feb 28",23:00 ,Vainillas Bimbo,2,Carb,24 gr,2 gr,18 gr,1 gr,0 gr,90 kcal,,,,,,134 gr,221 gr,85 gr,29 gr,"2,148 kcal",1571 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,1 gr,9 gr,34 gr,1 gr,1 gr,70 gr,0 gr,44 gr,72 gr,1:9,,,,,,,
1,"Sun, Mar 1",11:40 ,Pan Rústico D&D,2,Grano,50 gr,3 gr,25 gr,1 gr,1 gr,125 kcal,12:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",11:40 ,Palta,0.15,Fruta,24 gr,0 gr,2 gr,4 gr,2 gr,38 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.49,2.50,,,3.52,
,"Sun, Mar 1",11:40 ,Queso Unt. Finlandia Light,0.2,Lácteo,2 gr,0 gr,0 gr,0 gr,0 gr,4 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.01,0.09,0.01,0.02,0.16,
,"Sun, Mar 1",11:40 ,Almendra (1),0.3,Fruto Seco,2 gr,0 gr,0 gr,1 gr,0 gr,12 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.82,,,1.12,
,"Sun, Mar 1",11:40 ,Castaña de Cajú,0.4,Fruto Seco,3 gr,1 gr,1 gr,1 gr,0 gr,18 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.84,,,1.41,
,"Sun, Mar 1",11:40 ,Nuez (1),1.2,Fruto Seco,5 gr,1 gr,1 gr,3 gr,0 gr,32 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,1.56,0.67,,,3.06,
,"Sun, Mar 1",11:40 ,Huevo,1,Proteína,65 gr,8 gr,0 gr,8 gr,0 gr,101 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.23,2.91,,,7.67,
,"Sun, Mar 1",11:40 ,"Aceite de oliva El Gran Juicio (EV, 1 cda sop)",0.1,Grano,1 gr,0 gr,0 gr,1 gr,0 gr,11 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.12,0.90,,,1.20,
,"Sun, Mar 1",12:00 ,Yogurt Yogurisimo Descremado,1,Lácteo,190 gr,8 gr,11 gr,0 gr,0 gr,77 kcal,00:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",12:00 ,Avena Granix Instnatánea (2 cdas),1.4,Grano,42 gr,5 gr,25 gr,3 gr,4 gr,149 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",12:00 ,Maní,0.9,Fruto Seco,14 gr,3 gr,1 gr,7 gr,1 gr,78 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,3.24,,,6.62,
,"Sun, Mar 1",14:00 ,Arroz Integral,0.6,Grano,42 gr,1 gr,10 gr,0 gr,1 gr,46 kcal,02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",14:00 ,Cebolla,0.6,Verdura,84 gr,1 gr,8 gr,0 gr,1 gr,35 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",14:00 ,Ají,0.6,Verdura,30 gr,0 gr,1 gr,0 gr,0 gr,5 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",14:00 ,Atún (1 lata),1,Proteína,120 gr,31 gr,0 gr,1 gr,0 gr,139 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.02,0.08,,,0.98,
,"Sun, Mar 1",14:00 ,Jardinera,0.6,Carb,117 gr,5 gr,15 gr,0 gr,4 gr,81 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",14:00 ,Pan 12 Cereales y Smillas Oroweat,2,Grano,73 gr,8 gr,29 gr,4 gr,6 gr,198 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",14:00 ,Queso Unt. Finlandia Light,3,Lácteo,30 gr,3 gr,2 gr,4 gr,0 gr,57 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.13,1.28,0.18,0.31,2.46,
,"Sun, Mar 1",14:00 ,Aceite de girasol (1 cda sop),0.8,Grano,10 gr,0 gr,0 gr,10 gr,0 gr,86 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53,1.92,,,9.60,
,"Sun, Mar 1",15:40 ,Banana,0.8,Fruta,120 gr,1 gr,28 gr,0 gr,3 gr,107 kcal,01:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",15:40 ,"Leche, Protein",1.2,Lácteo,120 gr,6 gr,6 gr,0 gr,0 gr,44 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",15:40 ,Creatina Monohidrato,0.5,Complemento,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",21:45 ,Pan Integral D&D,2,Grano,50 gr,4 gr,24 gr,1 gr,3 gr,116 kcal,06:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",21:45 ,Palta,0.4,Fruta,64 gr,1 gr,5 gr,9 gr,4 gr,102 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,1.31,6.66,,,9.38,
,"Sun, Mar 1",21:45 ,Queso Unt. Finlandia Light,5,Lácteo,50 gr,5 gr,3 gr,7 gr,0 gr,95 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.22,2.13,0.29,0.51,4.11,
,"Sun, Mar 1",21:45 ,Huevo,1,Proteína,65 gr,8 gr,0 gr,8 gr,0 gr,101 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,1.23,2.91,,,7.67,
,"Sun, Mar 1",21:45 ,Tomate,0.35,Verdura,88 gr,1 gr,3 gr,0 gr,1 gr,16 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",21:45 ,Atún (1 lata),1,Proteína,120 gr,31 gr,0 gr,1 gr,0 gr,139 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.02,0.08,,,0.98,
,"Sun, Mar 1",22:10 ,Te,1,Infusión,0 gr,0 gr,0 gr,0 gr,0 gr,0 kcal,00:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",22:10 ,Miel (1 cda),1,Carb,10 gr,0 gr,7 gr,0 gr,0 gr,28 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sun, Mar 1",22:10 ,"Not protein bar, chocolate brownie",1,Procesado,45 gr,15 gr,14 gr,6 gr,6 gr,164 kcal,,,,,,150 gr,221 gr,81 gr,38 gr,"2,206 kcal",1635 gr,,115 gr,100 gr,124 gr,35 gr,2000 kcal,1 gr,16 gr,27 gr,0 gr,1 gr,60 gr,0 gr,44 gr,61 gr,1:16,,,,,,,
1,"Mon, Mar 2",10:15 ,Pan Multicereal D&D,2,Grano,50 gr,4 gr,24 gr,2 gr,3 gr,300 kcal,12:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
